timestamp,department,usage_kwh,day_of_week,hour,is_weekend
2024-01-04 12:00:00,Operations,162.9,Thursday,12,0
2024-01-04 13:00:00,Operations,185.6,Thursday,13,0
2024-01-04 14:00:00,Operations,198.3,Thursday,14,0
2024-01-04 15:00:00,Operations,205.7,Thursday,15,0
2024-01-04 16:00:00,Operations,188.2,Thursday,16,0
2024-01-04 17:00:00,Operations,155.4,Thursday,17,0
2024-01-04 18:00:00,Operations,102.8,Thursday,18,0
2024-01-04 19:00:00,Operations,78.5,Thursday,19,0
2024-01-04 20:00:00,Operations,68.9,Thursday,20,0
2024-01-04 21:00:00,Operations,62.3,Thursday,21,0
2024-01-04 22:00:00,Operations,57.8,Thursday,22,0
2024-01-04 23:00:00,Operations,54.2,Thursday,23,0
2024-01-05 00:00:00,IT,46.8,Friday,0,0
2024-01-05 01:00:00,IT,43.5,Friday,1,0
2024-01-05 02:00:00,IT,41.8,Friday,2,0
2024-01-05 03:00:00,IT,40.9,Friday,3,0
2024-01-05 04:00:00,IT,40.2,Friday,4,0
2024-01-05 05:00:00,IT,42.8,Friday,5,0
2024-01-05 06:00:00,IT,54.6,Friday,6,0
2024-01-05 07:00:00,IT,72.3,Friday,7,0
2024-01-05 08:00:00,IT,95.8,Friday,8,0
2024-01-05 09:00:00,IT,132.5,Friday,9,0
2024-01-05 10:00:00,IT,152.3,Friday,10,0
2024-01-05 11:00:00,IT,168.9,Friday,11,0
2024-01-05 12:00:00,IT,155.4,Friday,12,0
2024-01-05 13:00:00,IT,172.8,Friday,13,0
2024-01-05 14:00:00,IT,165.3,Friday,14,0
2024-01-05 15:00:00,IT,158.7,Friday,15,0
2024-01-05 16:00:00,IT,142.5,Friday,16,0
2024-01-05 17:00:00,IT,115.9,Friday,17,0
2024-01-05 18:00:00,IT,78.2,Friday,18,0
2024-01-05 19:00:00,IT,62.4,Friday,19,0
2024-01-05 20:00:00,IT,55.8,Friday,20,0
2024-01-05 21:00:00,IT,51.2,Friday,21,0
2024-01-05 22:00:00,IT,48.5,Friday,22,0
2024-01-05 23:00:00,IT,45.8,Friday,23,0
2024-01-06 00:00:00,HR,28.5,Saturday,0,1
2024-01-06 01:00:00,HR,26.8,Saturday,1,1
2024-01-06 02:00:00,HR,25.9,Saturday,2,1
2024-01-06 03:00:00,HR,25.2,Saturday,3,1
2024-01-06 04:00:00,HR,24.8,Saturday,4,1
2024-01-06 05:00:00,HR,25.5,Saturday,5,1
2024-01-06 06:00:00,HR,27.8,Saturday,6,1
2024-01-06 07:00:00,HR,32.4,Saturday,7,1
2024-01-06 08:00:00,HR,38.9,Saturday,8,1
2024-01-06 09:00:00,HR,45.6,Saturday,9,1
2024-01-06 10:00:00,HR,52.3,Saturday,10,1
2024-01-06 11:00:00,HR,58.7,Saturday,11,1
2024-01-06 12:00:00,HR,55.2,Saturday,12,1
2024-01-06 13:00:00,HR,52.8,Saturday,13,1
2024-01-06 14:00:00,HR,49.5,Saturday,14,1
2024-01-06 15:00:00,HR,46.8,Saturday,15,1
2024-01-06 16:00:00,HR,43.2,Saturday,16,1
2024-01-06 17:00:00,HR,38.9,Saturday,17,1
2024-01-06 18:00:00,HR,34.5,Saturday,18,1
2024-01-06 19:00:00,HR,31.2,Saturday,19,1
2024-01-06 20:00:00,HR,29.8,Saturday,20,1
2024-01-06 21:00:00,HR,28.5,Saturday,21,1
2024-01-06 22:00:00,HR,27.3,Saturday,22,1
2024-01-06 23:00:00,HR,26.5,Saturday,23,1
2024-01-07 00:00:00,Finance,24.8,Sunday,0,1
2024-01-07 01:00:00,Finance,23.5,Sunday,1,1
2024-01-07 02:00:00,Finance,22.8,Sunday,2,1
2024-01-07 03:00:00,Finance,22.2,Sunday,3,1
2024-01-07 04:00:00,Finance,21.9,Sunday,4,1
2024-01-07 05:00:00,Finance,22.8,Sunday,5,1
2024-01-07 06:00:00,Finance,25.4,Sunday,6,1
2024-01-07 07:00:00,Finance,29.8,Sunday,7,1
2024-01-07 08:00:00,Finance,35.6,Sunday,8,1
2024-01-07 09:00:00,Finance,42.3,Sunday,9,1
2024-01-07 10:00:00,Finance,48.9,Sunday,10,1
2024-01-07 11:00:00,Finance,54.2,Sunday,11,1
2024-01-07 12:00:00,Finance,51.8,Sunday,12,1
2024-01-07 13:00:00,Finance,48.5,Sunday,13,1
2024-01-07 14:00:00,Finance,45.7,Sunday,14,1
2024-01-07 15:00:00,Finance,42.3,Sunday,15,1
2024-01-07 16:00:00,Finance,38.9,Sunday,16,1
2024-01-07 17:00:00,Finance,35.2,Sunday,17,1
2024-01-07 18:00:00,Finance,31.5,Sunday,18,1
2024-01-07 19:00:00,Finance,28.9,Sunday,19,1
2024-01-07 20:00:00,Finance,27.5,Sunday,20,1
2024-01-07 21:00:00,Finance,26.2,Sunday,21,1
2024-01-07 22:00:00,Finance,25.1,Sunday,22,1
2024-01-07 23:00:00,Finance,24.3,Sunday,23,1
2024-01-08 00:00:00,Operations,54.8,Monday,0,0
2024-01-08 01:00:00,Operations,51.2,Monday,1,0
2024-01-08 02:00:00,Operations,49.5,Monday,2,0
2024-01-08 03:00:00,Operations,48.3,Monday,3,0
2024-01-08 04:00:00,Operations,47.8,Monday,4,0
2024-01-08 05:00:00,Operations,51.5,Monday,5,0
2024-01-08 06:00:00,Operations,64.2,Monday,6,0
2024-01-08 07:00:00,Operations,85.8,Monday,7,0
2024-01-08 08:00:00,Operations,112.5,Monday,8,0
2024-01-08 09:00:00,Operations,148.9,Monday,9,0
2024-01-08 10:00:00,Operations,172.3,Monday,10,0
2024-01-08 11:00:00,Operations,188.5,Monday,11,0
2024-01-08 12:00:00,Operations,172.8,Monday,12,0
2024-01-08 13:00:00,Operations,195.4,Monday,13,0
2024-01-08 14:00:00,Operations,208.9,Monday,14,0
2024-01-08 15:00:00,Operations,215.3,Monday,15,0
2024-01-08 16:00:00,Operations,198.5,Monday,16,0
2024-01-08 17:00:00,Operations,165.8,Monday,17,0
2024-01-08 18:00:00,Operations,112.4,Monday,18,0
2024-01-08 19:00:00,Operations,85.2,Monday,19,0
2024-01-08 20:00:00,Operations,72.8,Monday,20,0
2024-01-08 21:00:00,Operations,65.5,Monday,21,0
2024-01-08 22:00:00,Operations,60.2,Monday,22,0
2024-01-08 23:00:00,Operations,56.8,Monday,23,0
